Dataset,Method,Total Parameters,Trainable Parameters,Model Size (MB),Inference Time (ms/sample),Inference Std (ms)
UCI Indoor,DiT,3698704,3698704,14.10943603515625,719.4647431373596,82.04653928895402
UCI Indoor,GAN (Generator),60823,60823,0.23497390747070312,0.12405395507812501,0.011504030222818783
UCI Indoor,GAN (Discriminator),35101,35101,0.13389968872070312,0.09281396865844727,0.041045824265375834
UCI Indoor,MLP Classifier,202500,202500,0.7803192138671875,0.15377044677734375,0.02435725371566262
POWDER Outdoor,DiT,3701776,3701776,14.12115478515625,693.0240392684937,55.16422877162423
POWDER Outdoor,GAN (Generator),64345,64345,0.24840927124023438,0.15241146087646484,0.2470218059698459
POWDER Outdoor,GAN (Discriminator),40081,40081,0.15289688110351562,0.09456872940063477,0.0695584835714711
POWDER Outdoor,MLP Classifier,210192,210192,0.809661865234375,0.14474868774414062,0.019609874649902506
